seed,linear_mean_outer_AUROC,rbf_mean_outer_AUROC,linear_minus_rbf
0,0.945179063360882,0.942011019283747,0.003168044077135
1,0.920936639118457,0.932644628099174,-0.0117079889807163
2,0.942011019283747,0.932782369146006,0.0092286501377411
3,0.958126721763085,0.959504132231405,-0.00137741046831974
4,0.94931129476584,0.944765840220386,0.00454545454545463
5,0.936363636363636,0.931818181818182,0.00454545454545441
6,0.929752066115702,0.934297520661157,-0.00454545454545452
7,0.951790633608815,0.945867768595041,0.00592286501377404
8,0.952203856749311,0.948898071625344,0.00330578512396684
9,0.940771349862259,0.944214876033058,-0.00344352617079891
10,0.949724517906336,0.931818181818182,0.0179063360881541
11,0.932782369146006,0.946831955922865,-0.0140495867768595
12,0.935812672176308,0.945179063360881,-0.00936639118457294
13,0.922176308539945,0.909917355371901,0.0122589531680442
14,0.939807162534435,0.939807162534435,0
15,0.940495867768595,0.937465564738292,0.00303030303030316
16,0.937741046831956,0.926997245179063,0.0107438016528926
17,0.947382920110193,0.930716253443526,0.0166666666666666
18,0.920936639118457,0.949862258953168,-0.0289256198347108
19,0.94931129476584,0.962947658402204,-0.0136363636363636
