C,mean_train_AUROC,mean_validation_AUROC,sd_validation_AUROC_ddof0
0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
0.000316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.001,0.959461777815154,0.949586776859504,0.0431008441102619
0.00316227766016838,0.959461777815154,0.949586776859504,0.0431008441102619
0.01,0.959253497042581,0.945179063360882,0.0366934496400158
0.0316227766016838,0.959742569076519,0.940358126721763,0.0416142123665242
0.1,0.958184527981013,0.921625344352617,0.0471255583533981
0.316227766016838,0.957892056550706,0.908815426997245,0.0654430892201362
1,0.959150711555892,0.910606060606061,0.0583677584371462
3.16227766016838,0.958191162316972,0.91404958677686,0.0490992254104174
10,0.958964015735524,0.912534435261708,0.050038120386286
31.6227766016838,0.960115773834553,0.903994490358127,0.071107739838049
100,0.960115773834553,0.903994490358127,0.071107739838049
