method,C,lambda,eta_scale,beta,final_averaged_objective,final_averaged_gap,best_raw_gap,steps_to_5pct,epochs_to_5pct,steps_to_1pct,epochs_to_1pct,averaged_iterate_AUROC,cosine_to_reference
SSG,0.01,0.8771929824561403,2.0,0.0,0.5544072680039825,0.00013351874915656925,6.11507803602862e-05,96,0.8421052631578947,389,3.412280701754386,0.958743842364532,0.9998332462156599
Heavy Ball,0.01,0.8771929824561403,0.25,0.9,0.5544062683141041,0.00013251905927813556,6.517008947437564e-05,150,1.3157894736842106,391,3.4298245614035086,0.959051724137931,0.999822858241199
Nesterov-style,0.01,0.8771929824561403,2.0,0.3,0.5544077179614468,0.00013396870662085725,7.034024015839524e-05,98,0.8596491228070176,389,3.412280701754386,0.959051724137931,0.9998152923823329
