C_full_precision,C_display_2dp,gamma_full_precision,gamma_display_2dp,mean_train_AUROC,std_train_AUROC,mean_validation_AUROC,std_validation_AUROC,train_validation_gap,rank_validation_AUROC
0.01,0.01,0.001,1.00e-03,0.9593672151674,0.00893096419261381,0.951101928374656,0.0444265591740485,0.00826528679274452,1
0.01,0.01,0.00316227766016838,3.16e-03,0.959365159457666,0.00912319961434499,0.951101928374656,0.0444265591740485,0.00826323108301086,1
0.01,0.01,0.01,0.01,0.960134088339454,0.00898281844966471,0.949724517906336,0.0417584877209291,0.0104095704331179,10
0.01,0.01,0.0316227766016838,0.03,0.960623627580149,0.00851838038323143,0.946831955922865,0.0416456587069017,0.0137916716572842,14
0.01,0.01,0.1,0.10,0.966119380670722,0.00751410739182689,0.934573002754821,0.0424769805650394,0.0315463779159012,24
0.01,0.01,0.316227766016838,0.32,0.984349134265878,0.0102665850972785,0.88870523415978,0.0405917980715847,0.0956439001060984,41
0.01,0.01,1,1.00,1,0,0.78236914600551,0.06047130021457,0.21763085399449,55
0.01,0.01,3.16227766016838,3.16,1,0,0.720316804407714,0.0775845322015955,0.279683195592286,70
0.01,0.01,10,10.00,1,4.96506830649455e-17,0.544972451790634,0.0147640155527339,0.455027548209366,81
0.0316227766016838,0.03,0.001,1.00e-03,0.9593672151674,0.00893096419261381,0.951101928374656,0.0444265591740485,0.00826528679274452,1
0.0316227766016838,0.03,0.00316227766016838,3.16e-03,0.959365159457666,0.00912319961434499,0.951101928374656,0.0444265591740485,0.00826323108301086,1
0.0316227766016838,0.03,0.01,0.01,0.960134088339454,0.00898281844966471,0.949724517906336,0.0417584877209291,0.0104095704331179,10
0.0316227766016838,0.03,0.0316227766016838,0.03,0.960623627580149,0.00851838038323143,0.946831955922865,0.0416456587069017,0.0137916716572842,14
0.0316227766016838,0.03,0.1,0.10,0.966119380670722,0.00751410739182689,0.934573002754821,0.0424769805650394,0.0315463779159012,24
0.0316227766016838,0.03,0.316227766016838,0.32,0.984349134265878,0.0102665850972785,0.88870523415978,0.0405917980715847,0.0956439001060984,41
0.0316227766016838,0.03,1,1.00,1,0,0.78236914600551,0.06047130021457,0.21763085399449,55
0.0316227766016838,0.03,3.16227766016838,3.16,1,0,0.720316804407714,0.0775845322015955,0.279683195592286,70
0.0316227766016838,0.03,10,10.00,1,4.96506830649455e-17,0.55103305785124,0.0136780396615188,0.44896694214876,79
0.1,0.10,0.001,1.00e-03,0.9593672151674,0.00893096419261381,0.951101928374656,0.0444265591740485,0.00826528679274452,1
0.1,0.10,0.00316227766016838,3.16e-03,0.959365159457666,0.00912319961434499,0.951101928374656,0.0444265591740485,0.00826323108301086,1
0.1,0.10,0.01,0.01,0.960134088339454,0.00898281844966471,0.949724517906336,0.0417584877209291,0.0104095704331179,10
0.1,0.10,0.0316227766016838,0.03,0.960623627580149,0.00851838038323143,0.946831955922865,0.0416456587069017,0.0137916716572842,14
0.1,0.10,0.1,0.10,0.966119380670722,0.00751410739182689,0.934573002754821,0.0424769805650394,0.0315463779159012,24
0.1,0.10,0.316227766016838,0.32,0.984349134265878,0.0102665850972785,0.88870523415978,0.0405917980715847,0.0956439001060984,41
0.1,0.10,1,1.00,1,0,0.78236914600551,0.06047130021457,0.21763085399449,55
0.1,0.10,3.16227766016838,3.16,1,0,0.720316804407714,0.0775845322015955,0.279683195592286,70
0.1,0.10,10,10.00,1,4.96506830649455e-17,0.548760330578512,0.0306435909376019,0.451239669421488,80
0.316227766016838,0.32,0.001,1.00e-03,0.9593672151674,0.00893096419261381,0.951101928374656,0.0444265591740485,0.00826528679274452,1
0.316227766016838,0.32,0.00316227766016838,3.16e-03,0.959365159457666,0.00912319961434499,0.951101928374656,0.0444265591740485,0.00826323108301086,1
0.316227766016838,0.32,0.01,0.01,0.960234818116409,0.00873313407086527,0.948071625344353,0.0453701528948544,0.0121631927720567,13
0.316227766016838,0.32,0.0316227766016838,0.03,0.963795774582083,0.00764108731137971,0.938980716253443,0.0420270483804665,0.0248150583286399,19
0.316227766016838,0.32,0.1,0.10,0.97131303787178,0.00794848693454369,0.93168044077135,0.0378384458350637,0.03963259710043,29
0.316227766016838,0.32,0.316227766016838,0.32,0.984349134265878,0.0102665850972785,0.88870523415978,0.0405917980715847,0.0956439001060984,41
0.316227766016838,0.32,1,1.00,1,0,0.78236914600551,0.06047130021457,0.21763085399449,55
0.316227766016838,0.32,3.16227766016838,3.16,1,0,0.721074380165289,0.0785123966942149,0.278925619834711,64
0.316227766016838,0.32,10,10.00,1,0,0.560123966942149,0.0402675296366275,0.439876033057851,78
1,1.00,0.001,1.00e-03,0.9593672151674,0.00893096419261381,0.951101928374656,0.0444265591740485,0.00826528679274452,1
1,1.00,0.00316227766016838,3.16e-03,0.959558209289939,0.00850856388096608,0.944903581267218,0.0451130842553254,0.0146546280227214,17
1,1.00,0.01,0.01,0.962827441856119,0.00826100711861572,0.93732782369146,0.0395942622866327,0.025499618164659,22
1,1.00,0.0316227766016838,0.03,0.968024743269887,0.00769502901141343,0.937878787878788,0.0285074056397376,0.0301459553910988,21
1,1.00,0.1,0.10,0.972030854334277,0.0125255329005424,0.919834710743802,0.030517025516755,0.0521961435904754,31
1,1.00,0.316227766016838,0.32,0.998174342873695,0.0013060796656858,0.882782369146006,0.0382920110192838,0.11539197372769,45
1,1.00,1,1.00,1,0,0.78236914600551,0.06047130021457,0.21763085399449,55
1,1.00,3.16227766016838,3.16,1,0,0.721074380165289,0.0785123966942149,0.278925619834711,64
1,1.00,10,10.00,1,0,0.57396694214876,0.0419666251460466,0.42603305785124,77
3.16227766016838,3.16,0.001,1.00e-03,0.95945542380325,0.00903524179272819,0.943250688705234,0.0476842713911232,0.0162047350980158,18
3.16227766016838,3.16,0.00316227766016838,3.16e-03,0.96234621889571,0.00776810520063171,0.938980716253443,0.0386107588880375,0.0233655026422668,19
3.16227766016838,3.16,0.01,0.01,0.962516842803614,0.0104837619290522,0.928236914600551,0.033557405470882,0.0342799282030632,30
3.16227766016838,3.16,0.0316227766016838,0.03,0.968325717863183,0.00861867851621595,0.917355371900826,0.0387613193253704,0.0509703459623565,32
3.16227766016838,3.16,0.1,0.10,0.98114269428793,0.0118085533247886,0.897658402203857,0.0339570094888242,0.0834842920840735,38
3.16227766016838,3.16,0.316227766016838,0.32,1,0,0.860743801652893,0.0429045120307037,0.139256198347107,47
3.16227766016838,3.16,1,1.00,1,0,0.769972451790634,0.0609758938816291,0.230027548209366,60
3.16227766016838,3.16,3.16227766016838,3.16,1,0,0.721074380165289,0.0785123966942149,0.278925619834711,64
3.16227766016838,3.16,10,10.00,1,4.96506830649455e-17,0.585330578512397,0.052429605582158,0.414669421487603,73
10,10.00,0.001,1.00e-03,0.961862940225567,0.00760636942009316,0.93732782369146,0.0410181644118305,0.0245351165341073,22
10,10.00,0.00316227766016838,3.16e-03,0.960692774180286,0.00973093257562435,0.932506887052342,0.0427308160154077,0.0281858871279442,28
10,10.00,0.01,0.01,0.964065352881264,0.0108211333138774,0.916942148760331,0.0486298077193158,0.0471232041209336,33
10,10.00,0.0316227766016838,0.03,0.979399172109625,0.0101057501632493,0.893801652892562,0.0535694038861396,0.0855975192170633,39
10,10.00,0.1,0.10,0.999710144927536,0.000386473429951678,0.859779614325069,0.0606148253116389,0.139930530602467,48
10,10.00,0.316227766016838,0.32,1,0,0.835812672176309,0.0457013916780925,0.164187327823691,49
10,10.00,1,1.00,1,0,0.769972451790634,0.0609758938816291,0.230027548209366,60
10,10.00,3.16227766016838,3.16,1,0,0.721074380165289,0.0785123966942149,0.278925619834711,64
10,10.00,10,10.00,1,4.96506830649455e-17,0.585330578512397,0.052429605582158,0.414669421487603,73
31.6227766016838,31.62,0.001,1.00e-03,0.959631654192246,0.00922817525710473,0.934022038567493,0.0441339165940813,0.0256096156247532,27
31.6227766016838,31.62,0.00316227766016838,3.16e-03,0.960207626683112,0.0102942435420437,0.915151515151515,0.0573760491780651,0.0450561115315971,34
31.6227766016838,31.62,0.01,0.01,0.9714876797578,0.00776107937237911,0.902754820936639,0.059422771129101,0.0687328588211609,37
31.6227766016838,31.62,0.0316227766016838,0.03,0.985085732440034,0.00925608089426997,0.878236914600551,0.0608737514179902,0.106848817839483,46
31.6227766016838,31.62,0.1,0.10,1,0,0.794214876033058,0.0902749398706427,0.205785123966942,53
31.6227766016838,31.62,0.316227766016838,0.32,1,0,0.835812672176309,0.0457013916780925,0.164187327823691,49
31.6227766016838,31.62,1,1.00,1,0,0.769972451790634,0.0609758938816291,0.230027548209366,60
31.6227766016838,31.62,3.16227766016838,3.16,1,0,0.721074380165289,0.0785123966942149,0.278925619834711,64
31.6227766016838,31.62,10,10.00,1,4.96506830649455e-17,0.585330578512397,0.052429605582158,0.414669421487603,73
100,100.00,0.001,1.00e-03,0.958377390930582,0.0099522911064991,0.915013774104683,0.0618541657078924,0.0433636168258992,35
100,100.00,0.00316227766016838,3.16e-03,0.964545734869509,0.00915691543376121,0.907162534435262,0.0631049448230653,0.0573832004342475,36
100,100.00,0.01,0.01,0.982762500116802,0.00898637065460011,0.893526170798898,0.062208956253087,0.0892363293179037,40
100,100.00,0.0316227766016838,0.03,0.999710144927536,0.000386473429951678,0.827548209366391,0.0662827893291455,0.172161935561145,52
100,100.00,0.1,0.10,1,0,0.785123966942149,0.0868293164286777,0.214876033057851,54
100,100.00,0.316227766016838,0.32,1,0,0.835812672176309,0.0457013916780925,0.164187327823691,49
100,100.00,1,1.00,1,0,0.769972451790634,0.0609758938816291,0.230027548209366,60
100,100.00,3.16227766016838,3.16,1,0,0.721074380165289,0.0785123966942149,0.278925619834711,64
100,100.00,10,10.00,1,4.96506830649455e-17,0.585330578512397,0.052429605582158,0.414669421487603,73
