model,tuned_parameters,mean_outer_AUROC,std_outer_AUROC,pooled_oof_AUROC,accuracy,sensitivity,specificity
Linear soft margin,C,0.945179063360882,0.0410245238620204,0.947352216748768,0.859649122807018,0.857142857142857,0.862068965517241
RBF kernel,C and gamma,0.942011019283747,0.0437325112245125,0.850985221674877,0.824561403508772,0.732142857142857,0.913793103448276
