model,prespecified_selection,extended_grid_selection,extended_best_validation_AUROC,exact_best_plateau,interpretation
Linear soft margin,C=0.01,C=0.0001,0.949586776859504,"C in [0.0001, 0.00316228]",lower-C plateau; C is not precisely identified
RBF kernel,"C=0.01, gamma=0.001","C=0.0001, gamma=1e-05",0.952892561983471,3 tied pair(s),smoother/lower-penalty limit; no unique interior optimum
