model,mean,seed_sd_ddof1,min,max
PAC only,0.808811983471074,0.00756066599544159,0.797314049586777,0.828787878787879
L2 logistic,0.944249311294766,0.00788846424010173,0.928650137741047,0.962809917355372
Linear SVM,0.94013085399449,0.0107798285666169,0.920936639118457,0.958126721763085
RBF SVM,0.939917355371901,0.0118655737436467,0.909917355371901,0.962947658402204
