model,C_full_precision,gamma_full_precision,mean_train_AUROC,mean_validation_AUROC,train_validation_gap,is_pareto_optimal,C_display_2dp,gamma_display_2dp,validation_AUROC_display_2dp,gap_display_2dp
RBF kernel,1,3.16227766016838,1,0.721074380165289,0.278925619834711,False,1.00,3.16,0.72,0.28
RBF kernel,1,10,1,0.57396694214876,0.42603305785124,False,1.00,10.00,0.57,0.43
RBF kernel,3.16227766016838,0.001,0.95945542380325,0.943250688705234,0.0162047350980158,False,3.16,1.00e-03,0.94,0.02
RBF kernel,3.16227766016838,0.00316227766016838,0.96234621889571,0.938980716253443,0.0233655026422668,False,3.16,3.16e-03,0.94,0.02
RBF kernel,3.16227766016838,0.01,0.962516842803614,0.928236914600551,0.0342799282030632,False,3.16,0.01,0.93,0.03
RBF kernel,3.16227766016838,0.0316227766016838,0.968325717863183,0.917355371900826,0.0509703459623565,False,3.16,0.03,0.92,0.05
RBF kernel,3.16227766016838,0.1,0.98114269428793,0.897658402203857,0.0834842920840735,False,3.16,0.10,0.90,0.08
RBF kernel,3.16227766016838,0.316227766016838,1,0.860743801652893,0.139256198347107,False,3.16,0.32,0.86,0.14
RBF kernel,3.16227766016838,1,1,0.769972451790634,0.230027548209366,False,3.16,1.00,0.77,0.23
RBF kernel,3.16227766016838,3.16227766016838,1,0.721074380165289,0.278925619834711,False,3.16,3.16,0.72,0.28
RBF kernel,3.16227766016838,10,1,0.585330578512397,0.414669421487603,False,3.16,10.00,0.59,0.41
RBF kernel,10,0.001,0.961862940225567,0.93732782369146,0.0245351165341073,False,10.00,1.00e-03,0.94,0.02
RBF kernel,10,0.00316227766016838,0.960692774180286,0.932506887052342,0.0281858871279442,False,10.00,3.16e-03,0.93,0.03
RBF kernel,10,0.01,0.964065352881264,0.916942148760331,0.0471232041209336,False,10.00,0.01,0.92,0.05
RBF kernel,10,0.0316227766016838,0.979399172109625,0.893801652892562,0.0855975192170633,False,10.00,0.03,0.89,0.09
RBF kernel,10,0.1,0.999710144927536,0.859779614325069,0.139930530602467,False,10.00,0.10,0.86,0.14
RBF kernel,10,0.316227766016838,1,0.835812672176309,0.164187327823691,False,10.00,0.32,0.84,0.16
RBF kernel,10,1,1,0.769972451790634,0.230027548209366,False,10.00,1.00,0.77,0.23
RBF kernel,10,3.16227766016838,1,0.721074380165289,0.278925619834711,False,10.00,3.16,0.72,0.28
RBF kernel,10,10,1,0.585330578512397,0.414669421487603,False,10.00,10.00,0.59,0.41
RBF kernel,31.6227766016838,0.001,0.959631654192246,0.934022038567493,0.0256096156247532,False,31.62,1.00e-03,0.93,0.03
RBF kernel,31.6227766016838,0.00316227766016838,0.960207626683112,0.915151515151515,0.0450561115315971,False,31.62,3.16e-03,0.92,0.05
RBF kernel,31.6227766016838,0.01,0.9714876797578,0.902754820936639,0.0687328588211609,False,31.62,0.01,0.90,0.07
RBF kernel,31.6227766016838,0.0316227766016838,0.985085732440034,0.878236914600551,0.106848817839483,False,31.62,0.03,0.88,0.11
RBF kernel,31.6227766016838,0.1,1,0.794214876033058,0.205785123966942,False,31.62,0.10,0.79,0.21
RBF kernel,31.6227766016838,0.316227766016838,1,0.835812672176309,0.164187327823691,False,31.62,0.32,0.84,0.16
RBF kernel,31.6227766016838,1,1,0.769972451790634,0.230027548209366,False,31.62,1.00,0.77,0.23
