outer_fold,n_train,n_test,best_C_full_precision,best_C_display_2dp,best_gamma_full_precision,best_gamma_display_2dp,inner_mean_train_AUROC,inner_mean_validation_AUROC,inner_train_validation_gap,outer_test_AUROC
1,91,23,3.16227766016838,3.16,0.001,1.00e-03,0.969363950416582,0.948765432098765,0.0205985183178167,0.916666666666667
2,91,23,10,10.00,0.001,1.00e-03,0.961936936936937,0.96320987654321,-0.00127293960627295,0.939393939393939
3,91,23,0.316227766016838,0.32,0.0316227766016838,0.03,0.960385385385385,0.939012345679012,0.0213730397063732,0.984848484848485
4,91,23,1,1.00,0.00316227766016838,3.16e-03,0.952602602602603,0.921234567901235,0.031368034701368,0.984848484848485
5,92,22,0.01,0.01,0.001,1.00e-03,0.966042358147621,0.957283950617284,0.00875840753033741,0.884297520661157
